index,action,object,filename,full_path,gt_path,Exp1_Context_LastInput_KLD,Exp1_Context_LastInput_SIM,Exp1_Context_LastInput_NSS,Exp2_Context_AvgOutput_KLD,Exp2_Context_AvgOutput_SIM,Exp2_Context_AvgOutput_NSS,Exp3_Context_Top1_Raw_KLD,Exp3_Context_Top1_Raw_SIM,Exp3_Context_Top1_Raw_NSS,Exp4_Context_Top1_Obj_KLD,Exp4_Context_Top1_Obj_SIM,Exp4_Context_Top1_Obj_NSS,Exp5_Context_Top1_Adapt_KLD,Exp5_Context_Top1_Adapt_SIM,Exp5_Context_Top1_Adapt_NSS,Exp6_Context_PLSP_KLD,Exp6_Context_PLSP_SIM,Exp6_Context_PLSP_NSS,Exp7_EgoOnly_LastInput_KLD,Exp7_EgoOnly_LastInput_SIM,Exp7_EgoOnly_LastInput_NSS,Exp8_EgoOnly_AvgOutput_KLD,Exp8_EgoOnly_AvgOutput_SIM,Exp8_EgoOnly_AvgOutput_NSS,Exp9_EgoOnly_Top1_Raw_KLD,Exp9_EgoOnly_Top1_Raw_SIM,Exp9_EgoOnly_Top1_Raw_NSS,Exp10_EgoOnly_Top1_Obj_KLD,Exp10_EgoOnly_Top1_Obj_SIM,Exp10_EgoOnly_Top1_Obj_NSS,Exp11_EgoOnly_Top1_Adapt_KLD,Exp11_EgoOnly_Top1_Adapt_SIM,Exp11_EgoOnly_Top1_Adapt_NSS,Exp12_EgoOnly_PLSP_KLD,Exp12_EgoOnly_PLSP_SIM,Exp12_EgoOnly_PLSP_NSS,top_token_text,exo_filename,Exp1_Context_KLD,Exp1_Context_SIM,Exp1_Context_NSS,Exp2_Context_KLD,Exp2_Context_SIM,Exp2_Context_NSS,Exp3_Context_KLD,Exp3_Context_SIM,Exp3_Context_NSS,Exp4_Context_KLD,Exp4_Context_SIM,Exp4_Context_NSS,Exp5_Context_KLD,Exp5_Context_SIM,Exp5_Context_NSS,Exp6_Context_KLD,Exp6_Context_SIM,Exp6_Context_NSS,Exp7_EgoOnly_KLD,Exp7_EgoOnly_SIM,Exp7_EgoOnly_NSS,Exp8_EgoOnly_KLD,Exp8_EgoOnly_SIM,Exp8_EgoOnly_NSS,Exp9_EgoOnly_KLD,Exp9_EgoOnly_SIM,Exp9_EgoOnly_NSS,Exp10_EgoOnly_KLD,Exp10_EgoOnly_SIM,Exp10_EgoOnly_NSS,Exp11_EgoOnly_KLD,Exp11_EgoOnly_SIM,Exp11_EgoOnly_NSS,Exp12_EgoOnly_KLD,Exp12_EgoOnly_SIM,Exp12_EgoOnly_NSS
10,beat,drum,drum_003447.jpg,/root/AGD20K/Seen/testset/egocentric/beat/drum/drum_003447.jpg,/root/AGD20K/Seen/testset/GT/beat/drum/drum_003447.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.098606586456299,0.09528148919343948,-0.25064170360565186,1.589457631111145,0.26246702671051025,0.09878645837306976,1.3620562553405762,0.3509112298488617,0.5599212646484375,0.8361100554466248,0.4942179322242737,1.1939754486083984,0.9860206246376038,0.43481242656707764,0.9419422745704651,0.8361100554466248,0.4942179322242737,1.1939754486083984,2.787233829498291,0.1107492595911026,-0.2808961570262909,1.7265244722366333,0.2365761548280716,0.01635473407804966,1.4090924263000488,0.3278505802154541,0.3738953769207001,0.8875284194946289,0.4651019275188446,1.0096300840377808,1.0422459840774536,0.40666261315345764,0.7231789231300354,0.8875284194946289,0.4651019275188446,1.0096300840377808
34,boxing,punching_bag,punching_bag_003721.jpg,/root/AGD20K/Seen/testset/egocentric/boxing/punching_bag/punching_bag_003721.jpg,/root/AGD20K/Seen/testset/GT/boxing/punching_bag/punching_bag_003721.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5118837356567383,0.3267764449119568,-0.11150583624839783,0.9056053161621094,0.47003915905952454,0.15838970243930817,0.6382137537002563,0.5690490007400513,0.4130248725414276,0.6467976570129395,0.5496302247047424,0.3874033987522125,0.5648996233940125,0.5946693420410156,0.47099044919013977,0.6467976570129395,0.5496302247047424,0.3874033987522125,1.5462404489517212,0.32688838243484497,-0.12432486563920975,1.5765209197998047,0.34534981846809387,-0.18722282350063324,1.7137490510940552,0.32074594497680664,-0.20494316518306732,1.125667929649353,0.39554667472839355,-0.14644207060337067,1.125667929649353,0.39554667472839355,-0.14644207060337067,1.125667929649353,0.39554667472839355,-0.14644207060337067
44,brush_with,toothbrush,toothbrush_002589.jpg,/root/AGD20K/Seen/testset/egocentric/brush_with/toothbrush/toothbrush_002589.jpg,/root/AGD20K/Seen/testset/GT/brush_with/toothbrush/toothbrush_002589.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.963576316833496,0.07916872203350067,-0.17229874432086945,1.9935362339019775,0.18082258105278015,0.9541553854942322,1.4737001657485962,0.2649054527282715,2.117424964904785,0.4400436282157898,0.6324281096458435,3.0073654651641846,0.9370718002319336,0.41445422172546387,2.8005592823028564,0.4400436282157898,0.6324281096458435,3.0073654651641846,3.1533238887786865,0.07006043195724487,-0.22450274229049683,2.358022689819336,0.13967309892177582,0.21419982612133026,1.6387064456939697,0.23143211007118225,1.783586859703064,0.5047777891159058,0.5972904562950134,3.006345272064209,1.0421783924102783,0.37800872325897217,2.669048547744751,0.5047777891159058,0.5972904562950134,3.006345272064209
59,carry,skateboard,skateboard_002064.jpg,/root/AGD20K/Seen/testset/egocentric/carry/skateboard/skateboard_002064.jpg,/root/AGD20K/Seen/testset/GT/carry/skateboard/skateboard_002064.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8630543947219849,0.2454991638660431,-0.3108621835708618,1.4156990051269531,0.3551565110683441,-0.2800919711589813,1.4766676425933838,0.3512563407421112,-0.38087165355682373,0.5023284554481506,0.6227668523788452,0.8369628190994263,0.7327056527137756,0.574813961982727,0.6499905586242676,0.5023284554481506,0.6227668523788452,0.8369628190994263,1.8677679300308228,0.24944952130317688,-0.31161803007125854,1.5454355478286743,0.34112975001335144,-0.2609005868434906,1.5037872791290283,0.38312873244285583,-0.040977250784635544,0.51786869764328,0.6074329018592834,0.7755427360534668,0.5291997194290161,0.6225638389587402,0.8385592103004456,0.51786869764328,0.6074329018592834,0.7755427360534668
69,carry,skis,skis_000034.jpg,/root/AGD20K/Seen/testset/egocentric/carry/skis/skis_000034.jpg,/root/AGD20K/Seen/testset/GT/carry/skis/skis_000034.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.318708896636963,0.02580186352133751,-0.35357093811035156,3.125824451446533,0.08536846190690994,-0.2381591647863388,2.593296766281128,0.1200048178434372,-0.11510888487100601,1.7618002891540527,0.21728262305259705,0.7952899932861328,1.7618002891540527,0.21728262305259705,0.7952899932861328,1.7618002891540527,0.21728262305259705,0.7952899932861328,5.196563243865967,0.025939863175153732,-0.44701048731803894,3.719818115234375,0.06302063912153244,-0.24567565321922302,2.907928705215454,0.10233141481876373,-0.2305849939584732,1.7693150043487549,0.21673807501792908,0.8193283081054688,2.045532464981079,0.17457398772239685,0.39355459809303284,1.7693150043487549,0.21673807501792908,0.8193283081054688
81,carry,snowboard,snowboard_000513.jpg,/root/AGD20K/Seen/testset/egocentric/carry/snowboard/snowboard_000513.jpg,/root/AGD20K/Seen/testset/GT/carry/snowboard/snowboard_000513.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2039458751678467,0.10181079804897308,-0.14514082670211792,2.6793997287750244,0.12963441014289856,-0.09432563185691833,2.5517771244049072,0.14188827574253082,-0.23266762495040894,2.1895558834075928,0.16434171795845032,-0.2356036752462387,2.020581007003784,0.1819903701543808,-0.09999196976423264,2.1895558834075928,0.16434171795845032,-0.2356036752462387,3.185797691345215,0.10114145278930664,-0.20358677208423615,2.862576723098755,0.11636439710855484,-0.1291010081768036,2.6839447021484375,0.12454306334257126,-0.16038499772548676,2.198868989944458,0.15767237544059753,-0.177304208278656,1.9599305391311646,0.1826096773147583,-0.04112051799893379,2.198868989944458,0.15767237544059753,-0.177304208278656
89,carry,surfboard,surfboard_000658.jpg,/root/AGD20K/Seen/testset/egocentric/carry/surfboard/surfboard_000658.jpg,/root/AGD20K/Seen/testset/GT/carry/surfboard/surfboard_000658.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1964223384857178,0.18778672814369202,0.15204623341560364,2.3368027210235596,0.21060612797737122,0.2985764443874359,2.42927885055542,0.18158270418643951,-0.14975903928279877,1.692953109741211,0.24505770206451416,0.2562883496284485,1.7175558805465698,0.24091283977031708,0.20433539152145386,1.692953109741211,0.24505770206451416,0.2562883496284485,2.4006285667419434,0.13556064665317535,-0.21212519705295563,2.3466296195983887,0.19005632400512695,-0.24806416034698486,2.5278096199035645,0.17439399659633636,-0.3290058672428131,1.726078987121582,0.2357320338487625,0.13661710917949677,1.726078987121582,0.2357320338487625,0.13661710917949677,1.726078987121582,0.2357320338487625,0.13661710917949677
96,catch,frisbee,frisbee_000560.jpg,/root/AGD20K/Seen/testset/egocentric/catch/frisbee/frisbee_000560.jpg,/root/AGD20K/Seen/testset/GT/catch/frisbee/frisbee_000560.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9198040962219238,0.26840677857398987,0.09507960826158524,1.4194457530975342,0.3445174992084503,0.13344506919384003,0.7598995566368103,0.517916202545166,0.20562244951725006,0.6034064292907715,0.5647432804107666,0.16877888143062592,0.6034064292907715,0.5647432804107666,0.16877888143062592,0.6034064292907715,0.5647432804107666,0.16877888143062592,1.618514895439148,0.30287137627601624,0.06247374415397644,1.2831408977508545,0.36399295926094055,0.13826538622379303,0.8933922052383423,0.47310084104537964,0.16206549108028412,0.5944359302520752,0.5704208612442017,0.15288683772087097,1.1963456869125366,0.3603162169456482,-0.38131171464920044,0.5944359302520752,0.5704208612442017,0.15288683772087097
116,catch,rugby_ball,rugby_ball_001183.jpg,/root/AGD20K/Seen/testset/egocentric/catch/rugby_ball/rugby_ball_001183.jpg,/root/AGD20K/Seen/testset/GT/catch/rugby_ball/rugby_ball_001183.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9083402156829834,0.21100744605064392,-0.22961463034152985,1.2536128759384155,0.34077879786491394,-0.16513648629188538,0.6418935656547546,0.5739331245422363,-0.030402008444070816,0.19345927238464355,0.756709098815918,0.4830278754234314,0.19475479423999786,0.7548248171806335,0.4760380983352661,0.19345927238464355,0.756709098815918,0.4830278754234314,1.7904568910598755,0.24345698952674866,-0.264630526304245,1.4495357275009155,0.29393064975738525,-0.17905086278915405,0.7723047733306885,0.5353936553001404,-0.06262794882059097,0.20600628852844238,0.7491554617881775,0.4670861065387726,0.20600628852844238,0.7491554617881775,0.4670861065387726,0.20600628852844238,0.7491554617881775,0.4670861065387726
126,catch,soccer_ball,soccer_ball_001588.jpg,/root/AGD20K/Seen/testset/egocentric/catch/soccer_ball/soccer_ball_001588.jpg,/root/AGD20K/Seen/testset/GT/catch/soccer_ball/soccer_ball_001588.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7160565853118896,0.10153026878833771,-0.2017105221748352,1.7541464567184448,0.22284072637557983,0.6528657674789429,1.4790793657302856,0.26735493540763855,1.2003986835479736,0.10292636603116989,0.8489636778831482,2.3150339126586914,0.1279747039079666,0.8318178057670593,2.3139889240264893,0.10292636603116989,0.8489636778831482,2.3150339126586914,2.8134729862213135,0.0954262986779213,-0.23255708813667297,2.1743900775909424,0.1544211208820343,-0.07587850093841553,1.9234031438827515,0.1938730776309967,0.37667223811149597,0.12842969596385956,0.8226377964019775,2.4097745418548584,0.21141137182712555,0.7818395495414734,2.3658807277679443,0.12842969596385956,0.8226377964019775,2.4097745418548584
