Layer,Head,Attention_Sum,Layer_Total_Sum
0,0,0.019457493,2.5547621
0,1,0.07048848,2.5547621
0,2,0.00056764064,2.5547621
0,3,0.04075367,2.5547621
0,4,0.03528312,2.5547621
0,5,0.00039778283,2.5547621
0,6,0.09093425,2.5547621
0,7,0.00024586188,2.5547621
0,8,0.0044402382,2.5547621
0,9,0.22519605,2.5547621
0,10,0.28271574,2.5547621
0,11,0.0057159187,2.5547621
0,12,0.010886023,2.5547621
0,13,0.00625528,2.5547621
0,14,0.04071004,2.5547621
0,15,0.55477476,2.5547621
0,16,0.010613482,2.5547621
0,17,8.2335784e-05,2.5547621
0,18,0.03086575,2.5547621
0,19,0.03980152,2.5547621
0,20,0.0063635902,2.5547621
0,21,0.02038125,2.5547621
0,22,3.432403e-05,2.5547621
0,23,0.008712896,2.5547621
0,24,0.38608772,2.5547621
0,25,0.015223394,2.5547621
0,26,0.1359959,2.5547621
0,27,0.0009188776,2.5547621
0,28,0.0002884513,2.5547621
0,29,0.07618791,2.5547621
0,30,0.00020539414,2.5547621
0,31,0.054496594,2.5547621
0,32,0.0043262104,2.5547621
0,33,0.0010954982,2.5547621
0,34,0.00025299663,2.5547621
0,35,0.00013580623,2.5547621
0,36,0.0033989318,2.5547621
0,37,0.0018705487,2.5547621
0,38,0.00020200809,2.5547621
0,39,0.0005390048,2.5547621
0,40,0.00029453,2.5547621
0,41,0.0024243693,2.5547621
0,42,0.0018648864,2.5547621
0,43,0.0002130503,2.5547621
0,44,0.015288844,2.5547621
0,45,0.00014493123,2.5547621
0,46,0.06578828,2.5547621
0,47,0.03435311,2.5547621
0,48,0.020847261,2.5547621
0,49,0.0059944303,2.5547621
0,50,0.0019459832,2.5547621
0,51,0.010876767,2.5547621
0,52,0.00622909,2.5547621
0,53,0.004358862,2.5547621
0,54,0.031245638,2.5547621
0,55,0.010708754,2.5547621
0,56,0.021704558,2.5547621
0,57,0.010324569,2.5547621
0,58,0.030127343,2.5547621
0,59,8.672698e-05,2.5547621
0,60,0.00090463704,2.5547621
0,61,0.014182385,2.5547621
0,62,0.06891991,2.5547621
0,63,0.0090308115,2.5547621
1,0,0.0012968462,0.76072574
1,1,0.0006177508,0.76072574
1,2,5.736301e-05,0.76072574
1,3,0.0010658606,0.76072574
1,4,0.0014561102,0.76072574
1,5,0.0007955436,0.76072574
1,6,0.00052121654,0.76072574
1,7,0.001860287,0.76072574
1,8,0.096255556,0.76072574
1,9,0.0077801244,0.76072574
1,10,0.021406773,0.76072574
1,11,0.019381873,0.76072574
1,12,0.002601618,0.76072574
1,13,0.008477106,0.76072574
1,14,0.10595424,0.76072574
1,15,0.0074284114,0.76072574
1,16,0.022846285,0.76072574
1,17,0.049747232,0.76072574
1,18,0.008635967,0.76072574
1,19,0.00689171,0.76072574
1,20,0.006201206,0.76072574
1,21,0.011813039,0.76072574
1,22,0.0030042976,0.76072574
1,23,0.006198578,0.76072574
1,24,0.088527314,0.76072574
1,25,0.0021290826,0.76072574
1,26,0.0009606085,0.76072574
